refName,displayName,shortIdentifier
urn:cspace:core.collectionspace.org:vocabularies:name(entrymethod):item:name(post)'Post',Post,post
urn:cspace:core.collectionspace.org:vocabularies:name(examinationphase):item:name(aftertreatment)'after treatment',after treatment,aftertreatment
urn:cspace:core.collectionspace.org:vocabularies:name(examinationphase):item:name(beforetreatment)'before treatment',before treatment,beforetreatment
urn:cspace:core.collectionspace.org:vocabularies:name(examinationphase):item:name(duringtreatment)'during treatment',during treatment,duringtreatment
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(conservator)'Conservator',Conservator,conservator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(curator)'Curator',Curator,curator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(curatorialassistant)'Curatorial assistant',Curatorial assistant,curatorialassistant
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(educator)'Educator',Educator,educator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(exhibitdesigner)'Exhibit designer',Exhibit designer,exhibitdesigner
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(exhibitioncoordinator)'Exhibition coordinator',Exhibition coordinator,exhibitioncoordinator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(imagemediaresearcher)'Image/media researcher',Image/media researcher,imagemediaresearcher
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(preparator)'Preparator',Preparator,preparator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(publicist)'Publicist',Publicist,publicist
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(publicprogramscoordinator)'Public programs coordinator',Public programs coordinator,publicprogramscoordinator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(webdesigner)'Web designer',Web designer,webdesigner
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(webdeveloper)'Web developer',Web developer,webdeveloper
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(catalog)'Catalog',Catalog,catalog
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(mention)'Mention',Mention,mention
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(newsarticle)'News article',News article,newsarticle
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(pressrelease)'Press release',Press release,pressrelease
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(research)'Research',Research,research
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(review)'Review',Review,review
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionstatus):item:name(finalobjectlistdetermined)'Final object list determined',Final object list determined,finalobjectlistdetermined
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionstatus):item:name(labelswritten)'Labels written',Labels written,labelswritten
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionstatus):item:name(preliminaryobjectlistcreated)'Preliminary object list created',Preliminary object list created,preliminaryobjectlistcreated
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionstatus):item:name(sectionsdetermined)'Sections determined',Sections determined,sectionsdetermined
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionstatus):item:name(themeselected)'Theme selected',Theme selected,themeselected
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitiontype):item:name(permanent)'Permanent',Permanent,permanent
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitiontype):item:name(temporary)'Temporary',Temporary,temporary
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitiontype):item:name(traveling)'Traveling',Traveling,traveling
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(emissivity)'emissivity',emissivity,emissivity
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(flammability)'flammability',flammability,flammability
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(melting_point)'melting point',melting point,melting_point
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(porosity)'porosity',porosity,porosity
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(specific_heat)'specific heat',specific heat,specific_heat
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(thermal_expansion_coefficient)'thermal expansion coefficient',thermal expansion coefficient,thermal_expansion_coefficient
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(thermal_resistivity)'thermal resistivity',thermal resistivity,thermal_resistivity
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(vapor_permeability)'vapor permeability',vapor permeability,vapor_permeability
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalproperties):item:name(water_absorption)'water absorption',water absorption,water_absorption
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalpropertyunits):item:name(degC)'?C',?C,degC
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalpropertyunits):item:name(J_per_kg_degC)'J/kg?C',J/kg?C,J_per_kg_degC
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalpropertyunits):item:name(m_degC_per_W)'m?C/W',m?C/W,m_degC_per_W
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalpropertyunits):item:name(pct)'% (percent)',% (percent),pct
urn:cspace:core.collectionspace.org:vocabularies:name(hygrothermalpropertyunits):item:name(microstrain_per_degC)'?strain/?C',?strain/?C,microstrain_per_degC
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(accessioned)'accessioned',accessioned,accessioned
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(accessionstatusunclear)'accession status unclear',accession status unclear,accessionstatusunclear
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(deaccessioned)'deaccessioned',deaccessioned,deaccessioned
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(destroyed)'destroyed',destroyed,destroyed
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(destructiveanalysis)'destructive analysis',destructive analysis,destructiveanalysis
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(discarded)'discarded',discarded,discarded
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(exchanged)'exchanged',exchanged,exchanged
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(intendedfortransfer)'intended for transfer',intended for transfer,intendedfortransfer
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(irregularmuseumnumber)'irregular museum number',irregular museum number,irregularmuseumnumber
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(missing)'missing',missing,missing
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(missingininventory)'missing in inventory',missing in inventory,missingininventory
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(notcataloged)'not cataloged',not cataloged,notcataloged
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(notlocated)'not located',not located,notlocated
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(notreceived)'not received',not received,notreceived
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(numbernotused)'number not used',number not used,numbernotused
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(objectmount)'object mount',object mount,objectmount
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(onloan)'on loan',on loan,onloan
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(partiallydeaccessioned)'partially deaccessioned',partially deaccessioned,partiallydeaccessioned
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(partiallyexchanged)'partially exchanged',partially exchanged,partiallyexchanged
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(partiallyrecataloged)'partially recataloged',partially recataloged,partiallyrecataloged
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(returnedloanobject)'returned loan object',returned loan object,returnedloanobject
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(Roubado1558661533675)'Roubado',Roubado,Roubado1558661533675
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(sold)'sold',sold,sold
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(stolen)'stolen',stolen,stolen
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(transferred)'transferred',transferred,transferred
urn:cspace:core.collectionspace.org:vocabularies:name(inventorystatus):item:name(unknown)'unknown',unknown,unknown
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(bonding)'bonding',bonding,bonding
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(doweling)'doweling',doweling,doweling
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(fastening)'fastening',fastening,fastening
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(felting)'felting',felting,felting
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(filament_winding)'filament winding',filament winding,filament_winding
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(flexible_adhesives)'flexible adhesives',flexible adhesives,flexible_adhesives
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(heat_bonding)'heat-bonding',heat-bonding,heat_bonding
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(knitting)'knitting',knitting,knitting
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(laminating)'laminating',laminating,laminating
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(nonwoven)'nonwoven',nonwoven,nonwoven
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(polymerizing)'polymerizing',polymerizing,polymerizing
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(rigid_adhesives)'rigid adhesives',rigid adhesives,rigid_adhesives
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(soldering)'soldering',soldering,soldering
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(spun_bonding)'spun-bonding',spun-bonding,spun_bonding
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(stacking)'stacking',stacking,stacking
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(weaving)'weaving',weaving,weaving
urn:cspace:core.collectionspace.org:vocabularies:name(joiningprocesses):item:name(welding)'welding',welding,welding
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(grc)'Ancient Greek',Ancient Greek,grc
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(ara)'Arabic',Arabic,ara
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(hye)'Armenian',Armenian,hye
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(zho)'Chinese',Chinese,zho
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(eng)'English',English,eng
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(fra)'French',French,fra
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(deu)'German',German,deu
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(heb)'Hebrew',Hebrew,heb
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(ind)'Indonesian',Indonesian,ind
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(ita)'Italian',Italian,ita
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(jpn)'Japanese',Japanese,jpn
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(kor)'Korean',Korean,kor
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(lat)'Latin',Latin,lat
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(mal)'Malaysian',Malaysian,mal
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(enm)'Middle English',Middle English,enm
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(ang)'Old English',Old English,ang
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(por)'Portuguese',Portuguese,por
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(ron)'Romanian',Romanian,ron
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(rus)'Russian',Russian,rus
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(spa)'Spanish',Spanish,spa
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(swa)'Swahili',Swahili,swa
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(swe)'Swedish',Swedish,swe
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(tgl)'Tagalog',Tagalog,tgl
urn:cspace:core.collectionspace.org:vocabularies:name(languages):item:name(yor)'Yoruba',Yoruba,yor
urn:cspace:core.collectionspace.org:vocabularies:name(lifecyclecomponents):item:name(biodegradable)'Biodegradable',Biodegradable,biodegradable
urn:cspace:core.collectionspace.org:vocabularies:name(lifecyclecomponents):item:name(landfillable)'Landfillable',Landfillable,landfillable
urn:cspace:core.collectionspace.org:vocabularies:name(lifecyclecomponents):item:name(recyclable)'Recyclable',Recyclable,recyclable
urn:cspace:core.collectionspace.org:vocabularies:name(lifecyclecomponents):item:name(renewable_resource)'Renewable resource',Renewable resource,renewable_resource
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(agreed)'Agreed',Agreed,agreed
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(authorized)'Authorized',Authorized,authorized
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(conservation)'Conservation',Conservation,conservation
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(photographyrequested)'Photography requested',Photography requested,photographyrequested
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(refused)'Refused',Refused,refused
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(renewed)'Renewed',Renewed,renewed
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(requested)'Requested',Requested,requested
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(returned)'Returned',Returned,returned
urn:cspace:core.collectionspace.org:vocabularies:name(loanoutstatus):item:name(sent)'Sent',Sent,sent
urn:cspace:core.collectionspace.org:vocabularies:name(locationtermflag):item:name(abbreviation)'abbreviation',abbreviation,abbreviation
urn:cspace:core.collectionspace.org:vocabularies:name(locationtermflag):item:name(full)'full term',full term,full
urn:cspace:core.collectionspace.org:vocabularies:name(locationtype):item:name(building)'Building',Building,building
urn:cspace:core.collectionspace.org:vocabularies:name(locationtype):item:name(drawer)'Drawer',Drawer,drawer
urn:cspace:core.collectionspace.org:vocabularies:name(locationtype):item:name(room)'Room',Room,room
urn:cspace:core.collectionspace.org:vocabularies:name(locationtype):item:name(shelf)'Shelf',Shelf,shelf
urn:cspace:core.collectionspace.org:vocabularies:name(locationtype):item:name(tray)'Tray',Tray,tray
urn:cspace:core.collectionspace.org:vocabularies:name(locationtype):item:name(unit)'Unit',Unit,unit
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(blanking)'blanking',blanking,blanking
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(cnc_cutting)'CNC-cutting',CNC-cutting,cnc_cutting
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(cnc_routing)'CNC-routing',CNC-routing,cnc_routing
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(drilling)'drilling',drilling,drilling
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(ebm)'electron-beam machining (EBM)',electron-beam machining (EBM),ebm
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(grinding)'grinding',grinding,grinding
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(laser_beam_cutting)'laser-beam cutting',laser-beam cutting,laser_beam_cutting
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(lathing)'lathing',lathing,lathing
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(milling)'milling',milling,milling
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(nibbling)'nibbling',nibbling,nibbling
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(oxyacetylene_cutting)'oxyacetylene cutting',oxyacetylene cutting,oxyacetylene_cutting
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(plasma_arc_cutting)'plasma-arc cutting',plasma-arc cutting,plasma_arc_cutting
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(punching)'punching',punching,punching
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(water_jet_abrasion)'water-jet abrasion',water-jet abrasion,water_jet_abrasion
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(water_jet_cutting)'water-jet cutting',water-jet cutting,water_jet_cutting
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(wire_cutting)'wire cutting',wire cutting,wire_cutting
urn:cspace:core.collectionspace.org:vocabularies:name(machiningprocesses):item:name(wedm)'wire electrical discharge machining (W-EDM)',wire electrical discharge machining (W-EDM),wedm
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(aggregate)'aggregate',aggregate,aggregate
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(angle)'angle',angle,angle
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(bar)'bar',bar,bar
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(batt)'batt',batt,batt
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(board)'board',board,board
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(cell)'cell',cell,cell
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(channel)'channel',channel,channel
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(cloth)'cloth',cloth,cloth
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(coating)'coating',coating,coating
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(fiber)'fiber',fiber,fiber
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(fiberoptic)'fiber-optic',fiber-optic,fiberoptic
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(gabion)'gabion',gabion,gabion
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(geotextile)'geotextile',geotextile,geotextile
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(grating)'grating',grating,grating
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(grille)'grille',grille,grille
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(laminate)'laminate',laminate,laminate
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(leather)'leather',leather,leather
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(lens)'lens',lens,lens
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(lumber)'lumber',lumber,lumber
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(mulch)'mulch',mulch,mulch
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(net)'net',net,net
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(paint)'paint',paint,paint
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(paper)'paper',paper,paper
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(pellets)'pellets',pellets,pellets
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(plank)'plank',plank,plank
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(plywood)'plywood',plywood,plywood
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(pole)'pole',pole,pole
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(rod)'rod',rod,rod
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(sphere)'sphere',sphere,sphere
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(spheres)'spheres',spheres,spheres
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(tube)'tube',tube,tube
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(veneer)'veneer',veneer,veneer
urn:cspace:core.collectionspace.org:vocabularies:name(materialform):item:name(wire)'wire',wire,wire
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(block)'block',block,block
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(cord)'cord',cord,cord
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(cord_rope)'cord - rope',cord - rope,cord_rope
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(cord_tape)'cord - tape',cord - tape,cord_tape
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(cord_thread)'cord - thread',cord - thread,cord_thread
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(film)'film',film,film
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(fluid)'fluid',fluid,fluid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(fluid_foam)'fluid - foam',fluid - foam,fluid_foam
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(fluid_gas)'fluid - gas',fluid - gas,fluid_gas
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(fluid_liquid)'fluid - liquid',fluid - liquid,fluid_liquid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(granule)'granule',granule,granule
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(granule_irregular)'granule - irregular',granule - irregular,granule_irregular
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(granule_powder)'granule - powder',granule - powder,granule_powder
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(granule_regular)'granule - regular',granule - regular,granule_regular
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(honeycomb)'honeycomb',honeycomb,honeycomb
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(honeycomb_flexible)'honeycomb - flexible',honeycomb - flexible,honeycomb_flexible
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(honeycomb_rigid)'honeycomb - rigid',honeycomb - rigid,honeycomb_rigid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(mesh)'mesh',mesh,mesh
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(mesh_flexible)'mesh - flexible',mesh - flexible,mesh_flexible
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(mesh_rigid)'mesh - rigid',mesh - rigid,mesh_rigid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(panel)'panel',panel,panel
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(panel_flexible)'panel - flexible',panel - flexible,panel_flexible
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(panel_rigid)'panel - rigid',panel - rigid,panel_rigid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(profile)'profile',profile,profile
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(profile_hollow)'profile - hollow',profile - hollow,profile_hollow
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(profile_open)'profile - open',profile - open,profile_open
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(profile_solid)'profile - solid',profile - solid,profile_solid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(semisolid)'semisolid',semisolid,semisolid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(semisolid_gel)'semisolid - gel',semisolid - gel,semisolid_gel
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(semisolid_paste)'semisolid - paste',semisolid - paste,semisolid_paste
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(sheet)'sheet',sheet,sheet
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(sheet_flexible)'sheet - flexible',sheet - flexible,sheet_flexible
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(sheet_rigid)'sheet - rigid',sheet - rigid,sheet_rigid
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(textile)'textile',textile,textile
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(textile_fabric)'textile - fabric',textile - fabric,textile_fabric
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(textile_mat)'textile - mat',textile - mat,textile_mat
urn:cspace:core.collectionspace.org:vocabularies:name(materialformtype):item:name(tile)'tile',tile,tile
urn:cspace:core.collectionspace.org:vocabularies:name(materialproductionrole):item:name(distributor)'distributor',distributor,distributor
urn:cspace:core.collectionspace.org:vocabularies:name(materialproductionrole):item:name(manufacturer)'manufacturer',manufacturer,manufacturer
urn:cspace:core.collectionspace.org:vocabularies:name(materialproductionrole):item:name(origin)'origin',origin,origin
urn:cspace:core.collectionspace.org:vocabularies:name(materialresource):item:name(csi)'CSI',CSI,csi
